,loss_best,accuracy_best,data.nb_data,data.key,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
1046,1.4146416260629735e-09,0.9999166666666667,3000,qatool,128,4,4,1126528
1047,4.361471461766797e-10,0.9999166666666667,3000,qatool,128,4,8,1126528
1048,9.91278725770428e-10,0.9999166666666667,3000,qatool,128,5,1,1388928
1049,2.7618529685469184e-10,0.9999166666666667,3000,qatool,128,5,2,1388928
1050,5.042045669867434e-10,0.9999166666666667,3000,qatool,128,5,4,1388928
1051,7.700028809010107e-11,0.9999166666666667,3000,qatool,128,5,8,1388928
1052,5.707475048133404e-10,0.9999166666666667,3000,qatool,128,6,1,1651328
1053,2.315117819673418e-10,0.9999166666666667,3000,qatool,128,6,2,1651328
1054,3.199905618256338e-10,0.9999166666666667,3000,qatool,128,6,4,1651328
1055,2.0877954920450748e-09,0.9999166666666667,3000,qatool,128,6,8,1651328
1056,0.8434587121009827,0.034166666666666665,3000,qa,16,1,1,13744
1057,0.7351146936416626,0.03525,3000,qa,16,1,2,13744
1058,0.7136437892913818,0.03208333333333333,3000,qa,16,1,4,13744
1059,1.0226877927780151,0.012,3000,qa,16,1,8,13744
1060,0.12751348316669464,0.042166666666666665,3000,qa,16,2,1,17872
1061,0.12966740131378174,0.04108333333333333,3000,qa,16,2,2,17872
1062,0.3467389941215515,0.037,3000,qa,16,2,4,17872
1063,0.2002088725566864,0.03641666666666667,3000,qa,16,2,8,17872
1064,0.12544363737106323,0.04041666666666666,3000,qa,16,3,1,22000
1065,0.12578941881656647,0.042166666666666665,3000,qa,16,3,2,22000
1066,0.12858207523822784,0.043,3000,qa,16,3,4,22000
1067,0.18980532884597778,0.04033333333333333,3000,qa,16,3,8,22000
1068,0.13177993893623352,0.04041666666666666,3000,qa,16,4,1,26128
1069,0.12299318611621857,0.043416666666666666,3000,qa,16,4,2,26128
1070,0.12357491999864578,0.04541666666666667,3000,qa,16,4,4,26128
1071,0.1478927880525589,0.03908333333333333,3000,qa,16,4,8,26128
1072,0.12260184437036514,0.04525,3000,qa,16,5,1,30256
1073,0.12140068411827087,0.04541666666666667,3000,qa,16,5,2,30256
1074,0.12315384298563004,0.04591666666666667,3000,qa,16,5,4,30256
1075,0.12451011687517166,0.0435,3000,qa,16,5,8,30256
1076,0.12043323367834091,0.04566666666666667,3000,qa,16,6,1,34384
1077,0.12026923894882202,0.049916666666666665,3000,qa,16,6,2,34384
1078,0.12109529972076416,0.04733333333333333,3000,qa,16,6,4,34384
1079,0.12184698134660721,0.04516666666666667,3000,qa,16,6,8,34384
1080,0.21637189388275146,0.03983333333333333,3000,qa,32,1,1,35680
1081,0.17449551820755005,0.04125,3000,qa,32,1,2,35680
1082,0.18442508578300476,0.041916666666666665,3000,qa,32,1,4,35680
1083,0.20898309350013733,0.04133333333333333,3000,qa,32,1,8,35680
1084,0.0868774801492691,0.12675,3000,qa,32,2,1,52128
1085,0.07334896922111511,0.19691666666666666,3000,qa,32,2,2,52128
1086,0.07838032394647598,0.17241666666666666,3000,qa,32,2,4,52128
1087,0.08648395538330078,0.19575,3000,qa,32,2,8,52128
1088,0.03968561440706253,0.48975,3000,qa,32,3,1,68576
1089,0.03791758045554161,0.51975,3000,qa,32,3,2,68576
1090,0.04098820686340332,0.5150833333333333,3000,qa,32,3,4,68576
1091,0.04721100628376007,0.4713333333333333,3000,qa,32,3,8,68576
1092,0.026367763057351112,0.6645,3000,qa,32,4,1,85024
1093,0.008740141056478024,0.9121666666666667,3000,qa,32,4,2,85024
1094,0.004255348816514015,0.9914166666666666,3000,qa,32,4,4,85024
