,run,model,dataset_size,checkpoint_nbr,recall,recall_stderr,hellaswag_absolute,hellaswag_absolute_stderr,hellaswag_relative,hellaswag_relative_stderr,tv,tv_stderr,kl,kl_stderr
55,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,234,0.7866666666666666,0.023651795014489014,0.4226249751045608,0.00492967277718432,93.62452914145703,1.5011877993646856,0.1876862347126007,0.0014823399397670132,0.30536991357803345,0.004649427070343405
56,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,273,0.79,0.023515952032609692,0.42491535550687115,0.004933198776700267,94.13191937949982,1.5055902396442984,0.19465191662311554,0.0015216831453002415,0.32850754261016846,0.005047931712269711
57,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,312,0.8866666666666667,0.01830199341500709,0.42332204740091617,0.0049307573908973475,93.77895225738311,1.5025286490704486,0.19942350685596466,0.0015512906466121246,0.3482758700847626,0.005319921233040346
58,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,351,0.9666666666666667,0.010363754503432016,0.4277036446922924,0.004937345081868088,94.74961184320405,1.5109373501496386,0.20266170799732208,0.001589694626693945,0.37678736448287964,0.005881873323586016
59,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,390,0.9666666666666667,0.010363754503432016,0.42272455686118304,0.004929828337606979,93.64658958658934,1.5013794017860758,0.2143254280090332,0.0016535530907253945,0.4144774377346039,0.006271683934104521
60,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,429,0.9833333333333333,0.007391185942027828,0.4195379406492731,0.004924748500639348,92.94065534235592,1.4952394080896576,0.21658048033714294,0.0016513836423101085,0.4064016342163086,0.005895909146335059
61,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,468,0.9933333333333333,0.004698305447081342,0.4153555068711412,0.004917761181740162,92.01411664679955,1.4871531004467187,0.22482575476169586,0.0017035933391784687,0.4431277811527252,0.006453115541765471
62,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,195,0.03666666666666667,0.010850840554571832,0.4226249751045608,0.004929672777184319,93.62452914145703,1.5011877993646854,0.13631458580493927,0.0011105534416930545,0.14859206974506378,0.0026724034308602774
63,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,390,0.05333333333333334,0.012972906239401265,0.4147580163314081,0.004916733258140293,91.88175397600578,1.4859953328094735,0.1641765981912613,0.001296346593568072,0.21160519123077393,0.0033600559777194395
64,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,585,0.043333333333333335,0.011755219486899646,0.41346345349531965,0.004914480534533716,91.59496818928596,1.483484605290613,0.18590131402015686,0.001427418005070423,0.2635367214679718,0.004065375406596681
